"key","message","comment","context"
"AOS API calls are disabled, please contact your administrator.","Les appels API AOS sont désactivés, veuillez contacter votre administrateur.",,
"An error occurs while opening the connection. Please verify the following URL : %s.","Une erreur est survenue pendant la connexion. Veuillez verifier l'URL suivant: %s.",,
"Can not opening the connection to a empty URL.","Impossible d'établir la connexion avec un URL vide.",,
"Cannot find record #%s","Impossible de trouver l’enregistrement #%s",,
"Code",,,
"Computation in progress...",,,
"Error executing query: %s",,,
"Error while searching null title from following selection: '%s'.","Erreur en recherchant un titre null à partir de la sélection : « %s ».",,
"Given couple %s / %s match a value which is not an integer.","La paire %s / %s ne correspond pas à une sélection de type entiers.",,
"Meta json field type %s could not be converted to a meta field type.","Le type de champ personnalisé %s n'a pas pu être converti vers un type de champ.",,
"Name",,,
"No such template","Modèle non trouvé",,
"No title found for the view '%s'.","Aucun titre trouvé pour la vue « %s ».",,
"Null given value.","Valeur nulle.",,
"Object provided has been updated by another user","L'objet fourni a déjà été mis à jour par un autre utilisateur.",,
"Record Id","ID d'enregistrement",,
"Record Name","Nom d'enregistrement",,
"Reference on %s ID %s (%s) :: %s","Référence sur %s ID %s (%s) :: %s",,
"Request successfully completed","Requête traitée avec succès",,
"Selection '%s' is not an integer one or is wrongly defined.","La sélection « %s » n'est pas une sélection d'entier ou est mal définie.",,
"Templating can not be empty","Le modèle ne peut pas être vide",,
"The collection of IDs cannot be null.","Les Ids sélectionnés ne peuvent être vide.",,
"The consumer cannot be null.","La personne qui consomme ne peut être vide.",,
"The following references exist for %s (%s) :","Les références suivantes existent pour %s (%s) :",,
"The following required fields are missing on %s (%s) :","Les champs obligatoires suivants sont manquants pour %s (%s) :",,
"The object","L'objet",,
"The parameter copyNumber should be superior to 0.","Le paramètre copyNumber devrait être plus grand que 0.",,
"The process was stopped because the computation might be stuck in an infinite loop.","Le processus a été arrêté car le calcul est peut-être bloqué dans une boucle infinie.",,
"This field needs to be unique.","Ce champ doit être unique.",,
"Type %s could not be converted to json type.","Le type %s n'a pas pu être converti en type de champ personnalisé.",,
"Unknown selection and title pair: '%s' / '%s'.","Paire de sélection et titre inconnue : « %s » / « %s ».",,
"Unknown selection and value pair: '%s' / '%s'.","Paire de sélection et valeur inconnue : « %s » / « %s ».",,
"Unknown selection: '%s'.","Sélection inconnue : « %s »",,
"Url %s is malformed.","Le format de l’url %s est incorrect.",,
"Years in 360 days","L'année en 360 jours",,
"has been correctly created with the id :","a été corretement créé avec l'id :",,
"has been created","a bien été créé",,
